fiscal_year,ministry,department,state,district,scheme,allocated_budget,released_budget,spent_budget,quarter,month,vendor_name,project_cost,invoice_amount,utilization_pct,anomaly_type
2020-21,Water Resources,Directorate of Water Resources,Punjab,Patiala,Atal Bhujal Yojana,173301496.87,172816308.9,215764854.94,Q3,12,HG Infra Engineering,164636422.03,226637104.42,124.5,overspent
2023-24,Water Resources,Directorate of Water Resources,Punjab,Amritsar,PMKSY,285748458.93,260780241.49,364146582.43,Q4,3,Sri Ram Suppliers,271461035.98,374558552.11,127.44,overspent
2022-23,Power & Energy,Directorate of Power,Uttar Pradesh,Kanpur,DDUGJY,335456835.2,305283098.45,214155887.86,Q2,7,MECON Limited,314215059.53,289695054.38,63.84,normal
2023-24,Agriculture & Farmers Welfare,Directorate of Agriculture,Punjab,Bathinda,Pradhan Mantri Fasal Bima Yojana,407199082.56,384009055.97,340476865.33,Q1,5,Techno Electric,386221223.03,380115290.63,83.61,normal
2022-23,Infrastructure & Roads,Directorate of Infrastructure,Karnataka,Belagavi,PMGSY,478394283.04,412629801.84,355036964.03,Q4,2,M/s Shiv Enterprises,262511205.28,547157909.77,74.21,inflated
2023-24,Women & Child Development,Directorate of Women,Bihar,Purnia,One Stop Centre,482180621.74,361480807.63,313928308.34,Q2,9,HG Infra Engineering,478561880.18,483472845.3,65.11,normal
2021-22,Health & Family Welfare,Directorate of Health,West Bengal,Kolkata,Janani Suraksha Yojana,81303496.03,61069415.88,49868236.72,Q3,10,Balaji Trading Co,65692258.73,68508014.44,61.34,repeat_vendor
2023-24,Urban Development,Directorate of Urban Development,Uttar Pradesh,Allahabad,SBM Urban,392231692.84,298719485.62,211743755.97,Q3,10,Hindustan Construction Co,375464434.32,346893683.66,53.98,normal
2021-22,Social Justice,Directorate of Social Justice,Karnataka,Ballari,PM SVANidhi,332003903.74,259693725.75,247773432.75,Q2,7,Nuziveedu Seeds,331780204.99,339594710.47,74.63,normal
2020-21,Agriculture & Farmers Welfare,Directorate of Agriculture,Maharashtra,Solapur,Kisan Credit Card,341593129.02,326720533.27,311167346.82,Q2,7,Educomp Solutions,290804417.44,293304271.45,91.09,normal
2023-24,Agriculture & Farmers Welfare,Directorate of Agriculture,Karnataka,Davangere,RKVY,22881978.79,18042496.97,14947733.77,Q4,2,M/s Shiv Enterprises,19071647.93,19941841.85,65.33,repeat_vendor
2020-21,Social Justice,Directorate of Social Justice,Karnataka,Bengaluru,PM SVANidhi,212680516.52,180899917.88,158265307.2,Q2,9,Pearson India,197646605.48,205742737.51,74.41,normal
2019-20,Education,Directorate of Education,Uttar Pradesh,Jhansi,Eklavya Model School,28079767.37,24194000.46,20413459.82,Q1,4,Balaji Trading Co,27579872.11,27325124.49,72.7,repeat_vendor
2021-22,Women & Child Development,Directorate of Women,Telangana,Mahbubnagar,PM Matru Vandana Yojana,336976067.43,296403599.31,251312251.75,Q1,5,Shapoorji Pallonji,316816948.08,288584888.23,74.58,normal
2023-24,Social Justice,Directorate of Social Justice,Maharashtra,Aurangabad,Ambedkar Social Innovation,382871846.27,310368060.33,267360796.69,Q1,5,Nuziveedu Seeds,318267848.45,296937492.31,69.83,normal
2021-22,Power & Energy,Directorate of Power,Karnataka,Belagavi,SAUBHAGYA,277208569.69,203611314.58,132675076.76,Q3,10,NIIT Technologies,251547485.97,262124280.07,47.86,normal
2022-23,Rural Development,Directorate of Rural Development,Bihar,Purnia,PMAY-G,92812368.67,82409147.83,100644503.99,Q2,7,Laxmi Infra Works,88171750.24,109221943.19,108.44,overspent
2019-20,Social Justice,Directorate of Social Justice,Gujarat,Surat,Ambedkar Social Innovation,99511378.63,96170898.45,73501905.39,Q3,10,RITES Ltd,81600227.22,81023098.73,73.86,normal
2021-22,Infrastructure & Roads,Directorate of Infrastructure,Tamil Nadu,Tirunelveli,Smart Cities Mission,292500796.49,234602651.21,176239754.61,Q3,12,Pearson India,243866075.44,230936836.8,60.25,normal
2021-22,Infrastructure & Roads,Directorate of Infrastructure,Punjab,Firozpur,Setu Bharatam,366753425.08,309015314.25,244024882.2,Q2,9,Sri Ram Suppliers,329122424.55,316248229.44,66.54,repeat_vendor
2023-24,Urban Development,Directorate of Urban Development,Maharashtra,Aurangabad,AMRUT 2.0,367038763.91,352031945.47,483621857.38,Q2,8,M/s Shiv Enterprises,348686825.71,514168695.22,131.76,overspent
2020-21,Urban Development,Directorate of Urban Development,Odisha,Balasore,HRIDAY,131047544.4,112430330.49,97081008.4,Q1,6,Balaji Trading Co,114425962.15,111259871.84,74.08,repeat_vendor
2022-23,Urban Development,Directorate of Urban Development,Punjab,Bathinda,AMRUT 2.0,182568913.48,140009657.94,134196468.96,Q1,5,Afcons Infrastructure,173703588.73,159990663.82,73.5,normal
2021-22,Education,Directorate of Education,Rajasthan,Udaipur,National Scholarship Portal,380974716.54,294882047.14,213755859.97,Q1,4,GR Infraprojects,344240008.96,350683861.29,56.11,normal
2019-20,Power & Energy,Directorate of Power,Gujarat,Anand,DDUGJY,352164390.17,328323284.81,301124696.68,Q3,10,WAPCOS Ltd,322486189.42,317817886.69,85.51,normal
2023-24,Power & Energy,Directorate of Power,Telangana,Mahbubnagar,National Solar Mission,126541618.7,106874501.46,88830712.71,Q1,6,Larsen & Toubro Ltd,62938297.52,155769399.11,70.2,inflated
2020-21,Urban Development,Directorate of Urban Development,Uttar Pradesh,Agra,SBM Urban,257756095.3,191272373.35,133958439.26,Q2,7,Kalpataru Power,240285884.26,231201168.23,51.97,normal
2022-23,Water Resources,Directorate of Water Resources,Punjab,Amritsar,National River Conservation Plan,295804658.51,269665844.68,332218535.06,Q4,1,Dilip Buildcon Ltd,281014425.58,351270819.93,112.31,overspent
2020-21,Education,Directorate of Education,Rajasthan,Jaipur,NIPUN Bharat,129871563.36,125755509.38,105860284.48,Q1,4,Tata Projects Ltd,126715917.7,127881215.95,81.51,normal
2023-24,Rural Development,Directorate of Rural Development,Maharashtra,Nashik,Deen Dayal Upadhyaya Grameen Kaushalya Yojana,86112825.21,74932602.75,67338484.51,Q4,2,Balaji Trading Co,79623564.88,79709597.41,78.2,repeat_vendor
2023-24,Education,Directorate of Education,Punjab,Mohali,National Scholarship Portal,189727464.71,133689093.18,109259768.31,Q1,4,Everonn Education,183144459.96,181464412.22,57.59,normal
2023-24,Education,Directorate of Education,Gujarat,Ahmedabad,NIPUN Bharat,241638226.62,209977071.08,192088487.99,Q1,4,Pearson India,218539749.67,208827103.99,79.49,normal
2022-23,Agriculture & Farmers Welfare,Directorate of Agriculture,Punjab,Firozpur,Pradhan Mantri Fasal Bima Yojana,294934994.98,244342367.42,32124476.97,Q4,2,KEC International,250694745.73,31475056.82,10.89,low_utilization
2021-22,Rural Development,Directorate of Rural Development,Gujarat,Rajkot,MGNREGS,95321485.85,79767568.7,8972092.07,Q4,2,Kalpataru Power,81023262.97,8849922.05,9.41,low_utilization
2022-23,Power & Energy,Directorate of Power,Telangana,Karimnagar,National Solar Mission,78234511.7,69475759.82,102212847.99,Q3,10,Pearson India,74322786.11,107984503.31,130.65,overspent
2022-23,Urban Development,Directorate of Urban Development,Madhya Pradesh,Rewa,AMRUT 2.0,185736271.47,143213389.85,107142088.38,Q4,1,Max Healthcare,177348216.56,170204535.12,57.69,normal
2022-23,Education,Directorate of Education,Telangana,Warangal,PM POSHAN,108014612.63,85845974.04,70924603.58,Q2,7,NBCC India Ltd,89884100.86,93900620.24,65.66,normal
2023-24,Agriculture & Farmers Welfare,Directorate of Agriculture,Maharashtra,Nagpur,Kisan Credit Card,32976147.73,23822336.02,15772332.93,Q4,1,Educomp Solutions,32518999.34,31221384.89,47.83,normal
2022-23,Social Justice,Directorate of Social Justice,Madhya Pradesh,Bhopal,NSFDC Schemes,101651914.16,98661974.2,115456442.68,Q4,1,Shapoorji Pallonji,96569318.45,124507759.56,113.58,overspent
2020-21,Social Justice,Directorate of Social Justice,Karnataka,Mangaluru,Venture Capital Fund SCs,120389056.02,89579634.53,86801007.38,Q1,5,NIIT Technologies,104813786.03,100544874.35,72.1,normal
2019-20,Urban Development,Directorate of Urban Development,Bihar,Patna,Smart Cities,415052636.42,360937679.24,340240622.28,Q3,12,Laxmi Infra Works,184805964.42,581820920.79,81.98,inflated
2020-21,Women & Child Development,Directorate of Women,West Bengal,Kolkata,Mission Shakti,54126013.24,42347679.15,40359241.71,Q4,3,WAPCOS Ltd,52784911.86,53944707.35,74.57,normal
2023-24,Urban Development,Directorate of Urban Development,Madhya Pradesh,Satna,SBM Urban,378979169.24,337962134.7,284612813.8,Q4,1,Hindustan Construction Co,216929440.95,536847918.65,75.1,inflated
2020-21,Rural Development,Directorate of Rural Development,Maharashtra,Thane,PMAY-G,477767397.87,335737897.23,307635511.98,Q3,11,RITES Ltd,409665437.59,393213107.9,64.39,normal
2021-22,Water Resources,Directorate of Water Resources,Maharashtra,Nagpur,National River Conservation Plan,447263810.18,431695930.29,374968641.1,Q3,10,PNC Infratech,402447917.39,374256433.08,83.84,normal
2020-21,Infrastructure & Roads,Directorate of Infrastructure,Madhya Pradesh,Jabalpur,Bharatmala,178657659.3,113619758.85,3699233.43,Q2,9,Mahindra Agri,151859010.41,3673220.01,2.07,low_utilization
2023-24,Social Justice,Directorate of Social Justice,Uttar Pradesh,Jhansi,Ambedkar Social Innovation,449162479.0,388482369.04,298619893.2,Q3,11,Balaji Trading Co,447760614.4,466387761.76,66.48,repeat_vendor
2020-21,Rural Development,Directorate of Rural Development,West Bengal,Siliguri,Shyama Prasad Mukherji Rurban Mission,399835688.97,340426113.03,276014792.14,Q1,6,NIIT Technologies,388672286.97,395040913.49,69.03,normal
2019-20,Women & Child Development,Directorate of Women,Maharashtra,Kolhapur,Mission Shakti,106165440.47,83989830.03,71062870.53,Q1,6,WAPCOS Ltd,88906176.66,83520894.4,66.94,normal
2020-21,Rural Development,Directorate of Rural Development,Gujarat,Bhavnagar,PMGSY,106055708.57,75479093.56,11826983.26,Q4,2,Engineers India Ltd,90147352.28,11608787.59,11.15,low_utilization
2021-22,Urban Development,Directorate of Urban Development,Rajasthan,Kota,Smart Cities,216677157.11,160522291.64,153608168.69,Q2,9,NCC Limited,193838822.45,174738205.34,70.89,normal
2023-24,Power & Energy,Directorate of Power,Gujarat,Vadodara,RDSS,150717056.89,129464997.13,100657560.48,Q3,11,Afcons Infrastructure,122383346.74,125084678.91,66.79,normal
2021-22,Women & Child Development,Directorate of Women,Telangana,Warangal,PM Matru Vandana Yojana,180792983.45,167559741.01,127366329.45,Q3,11,Everonn Education,149018164.24,153504398.93,70.45,normal
2021-22,Urban Development,Directorate of Urban Development,Bihar,Bhagalpur,Housing for All,255711818.24,187712684.8,6109147.51,Q3,12,MECON Limited,217355045.5,6002009.23,2.39,low_utilization
2023-24,Education,Directorate of Education,Rajasthan,Ajmer,National Scholarship Portal,40476851.8,31886651.03,27389491.41,Q4,1,Engineers India Ltd,37282297.01,35765589.74,67.67,normal
2020-21,Women & Child Development,Directorate of Women,Tamil Nadu,Tirunelveli,PM Matru Vandana Yojana,63394915.46,48843320.28,43374827.53,Q2,7,IRB Infrastructure,53385764.75,51226675.59,68.42,normal
2019-20,Health & Family Welfare,Directorate of Health,Maharashtra,Kolhapur,PMJAY,262467412.88,215429494.17,188203608.27,Q1,5,Balaji Trading Co,139361412.8,423611290.28,71.71,inflated
2022-23,Rural Development,Directorate of Rural Development,Bihar,Muzaffarpur,PMGSY,263844426.63,187288223.46,143123637.22,Q2,7,Apollo Hospitals,256680583.0,249000448.79,54.25,normal
2023-24,Social Justice,Directorate of Social Justice,Madhya Pradesh,Satna,NSFDC Schemes,299194515.22,282851813.81,364776560.51,Q2,9,Balaji Trading Co,284234789.46,388114472.73,121.92,overspent
2023-24,Social Justice,Directorate of Social Justice,Madhya Pradesh,Sagar,Pradhan Mantri Adarsh Gram Yojana,221488292.48,171154185.93,127876708.93,Q2,7,Larsen & Toubro Ltd,200372318.09,203126238.7,57.74,normal
2023-24,Education,Directorate of Education,Tamil Nadu,Salem,National Scholarship Portal,461122109.48,412894922.36,310425352.57,Q1,6,Tata Projects Ltd,258040683.98,680144990.35,67.32,inflated
2022-23,Agriculture & Farmers Welfare,Directorate of Agriculture,Karnataka,Davangere,Pradhan Mantri Fasal Bima Yojana,125698162.77,99778854.65,15221094.34,Q4,2,Techno Electric,106843438.35,14740238.95,12.11,low_utilization
2023-24,Power & Energy,Directorate of Power,Telangana,Karimnagar,RDSS,324580063.44,251637239.98,178702752.73,Q3,11,Hindustan Construction Co,271505197.5,256148672.09,55.06,normal
2023-24,Women & Child Development,Directorate of Women,Odisha,Baripada,Mission Shakti,161001217.85,156415990.26,102778113.47,Q4,1,KEC International,137885131.1,126682775.02,63.84,normal
2019-20,Women & Child Development,Directorate of Women,Punjab,Ludhiana,Beti Bachao Beti Padhao,247296197.04,194681822.14,176348236.36,Q2,7,Narayana Health,220770438.71,224901872.05,71.31,normal
2021-22,Water Resources,Directorate of Water Resources,Maharashtra,Nagpur,Jal Jeevan Mission,272052783.32,258666620.34,188833210.56,Q4,1,Educomp Solutions,262707881.61,241243132.76,69.41,normal
2019-20,Infrastructure & Roads,Directorate of Infrastructure,West Bengal,Jalpaiguri,Bharatmala,367926066.82,326159911.89,233759814.16,Q2,8,Educomp Solutions,344484931.97,326163984.81,63.53,normal
2023-24,Water Resources,Directorate of Water Resources,Rajasthan,Jaipur,Dam Rehabilitation,241133566.98,193128567.15,128752636.51,Q1,5,GR Infraprojects,239844662.75,224349468.49,53.39,normal
2021-22,Power & Energy,Directorate of Power,Tamil Nadu,Chennai,SAUBHAGYA,394782746.32,280989834.54,253090937.45,Q1,5,Nuziveedu Seeds,370180401.86,341768608.6,64.11,normal
2019-20,Health & Family Welfare,Directorate of Health,Bihar,Bhagalpur,Janani Suraksha Yojana,30966115.52,23010832.56,18906460.87,Q3,12,KEC International,25552169.93,23888754.19,61.06,normal
2020-21,Social Justice,Directorate of Social Justice,Telangana,Ramagundam,Pradhan Mantri Adarsh Gram Yojana,189506699.28,127956604.72,3367583.27,Q1,6,Agri Gold Farms,161080694.39,3330983.48,1.78,low_utilization
2023-24,Social Justice,Directorate of Social Justice,Punjab,Gurdaspur,NSFDC Schemes,174484674.83,119102774.71,18224622.43,Q2,9,Afcons Infrastructure,148311973.61,17401258.79,10.44,low_utilization
2023-24,Education,Directorate of Education,Gujarat,Gandhinagar,Eklavya Model School,1359194.53,1232594.44,1502807.41,Q3,11,Tata Projects Ltd,1291234.8,1595941.59,110.57,overspent
2019-20,Water Resources,Directorate of Water Resources,Odisha,Berhampur,PMKSY,262510814.64,224292123.98,189789840.19,Q4,1,Apollo Hospitals,231524275.8,219555306.16,72.3,normal
2020-21,Health & Family Welfare,Directorate of Health,Karnataka,Mysuru,Ayushman Bharat,101837435.32,74102112.08,61706599.62,Q2,7,Educomp Solutions,94870150.97,92865848.68,60.59,normal
2020-21,Urban Development,Directorate of Urban Development,Madhya Pradesh,Bhopal,Housing for All,465175307.37,389627832.61,364195087.81,Q1,4,IRB Infrastructure,415686157.08,413955866.55,78.29,normal
2019-20,Water Resources,Directorate of Water Resources,Karnataka,Ballari,PMKSY,21285922.98,16711434.96,15913850.21,Q3,12,KEC International,17459672.41,16318729.97,74.76,normal
2020-21,Power & Energy,Directorate of Power,Bihar,Muzaffarpur,RDSS,374847984.63,273468087.2,233640133.71,Q2,9,Max Healthcare,350444823.34,352331114.48,62.33,normal
2023-24,Power & Energy,Directorate of Power,Maharashtra,Nagpur,SAUBHAGYA,169418922.41,165956236.85,131398156.39,Q4,3,Max Healthcare,166114744.17,163209762.97,77.56,normal
2021-22,Water Resources,Directorate of Water Resources,Tamil Nadu,Vellore,National River Conservation Plan,273267493.55,233388704.03,207311033.88,Q2,9,Narayana Health,271171628.92,262256853.04,75.86,normal
2023-24,Power & Energy,Directorate of Power,Uttar Pradesh,Lucknow,National Solar Mission,68407768.96,51395698.51,48625398.73,Q1,6,Balaji Trading Co,66433800.2,63256280.65,71.08,repeat_vendor
2019-20,Rural Development,Directorate of Rural Development,Karnataka,Hubballi,MGNREGS,78897446.07,74881179.36,54659832.11,Q4,2,WAPCOS Ltd,75916294.03,69371229.06,69.28,normal
2021-22,Power & Energy,Directorate of Power,Odisha,Berhampur,DDUGJY,244649922.79,217877778.73,197152986.5,Q4,1,M/s Shiv Enterprises,224844591.78,220356542.04,80.59,repeat_vendor
2021-22,Urban Development,Directorate of Urban Development,West Bengal,Howrah,Smart Cities,208844334.6,192963248.11,146011318.24,Q3,11,Laxmi Infra Works,205864258.18,208620515.09,69.91,repeat_vendor
2019-20,Power & Energy,Directorate of Power,Uttar Pradesh,Allahabad,RDSS,282891534.1,253294070.35,177058430.19,Q3,12,NIIT Technologies,281253040.18,284888525.54,62.59,normal
2022-23,Urban Development,Directorate of Urban Development,Karnataka,Mysuru,AMRUT 2.0,74858187.93,62374784.35,55420046.55,Q3,11,NIIT Technologies,63817473.21,61250674.17,74.03,normal
2022-23,Power & Energy,Directorate of Power,Punjab,Jalandhar,SAUBHAGYA,198264082.99,169937484.93,164680503.74,Q2,8,RITES Ltd,168219742.28,158116222.93,83.06,normal
2022-23,Power & Energy,Directorate of Power,Tamil Nadu,Coimbatore,DDUGJY,174805620.57,151431592.2,99603552.17,Q4,2,BHEL,145761850.75,138831962.12,56.98,normal
2019-20,Women & Child Development,Directorate of Women,Odisha,Rourkela,PM Matru Vandana Yojana,342994254.5,310058673.95,210052541.7,Q2,7,NBCC India Ltd,291068238.37,289074527.58,61.24,normal
2019-20,Education,Directorate of Education,Madhya Pradesh,Bhopal,Eklavya Model School,236123961.56,214212516.43,153761765.79,Q3,11,WAPCOS Ltd,214816137.86,213410445.27,65.12,normal
2023-24,Education,Directorate of Education,Punjab,Ludhiana,National Scholarship Portal,85989503.88,79193992.31,67136606.28,Q1,5,NBCC India Ltd,76787953.12,79995882.92,78.08,normal
2019-20,Health & Family Welfare,Directorate of Health,West Bengal,Durgapur,Poshan Abhiyaan,433837810.98,383805592.55,505078474.49,Q1,5,KEC International,412145920.43,550731106.62,116.42,overspent
2020-21,Women & Child Development,Directorate of Women,Odisha,Cuttack,Beti Bachao Beti Padhao,463248636.54,356363185.58,292008597.21,Q4,3,Fortis Healthcare,415991053.77,420840930.39,63.03,normal
2021-22,Agriculture & Farmers Welfare,Directorate of Agriculture,Tamil Nadu,Erode,Soil Health Card,138663261.22,107068867.95,82860017.52,Q2,9,Tata Projects Ltd,137114023.7,142923196.99,59.76,normal
2020-21,Infrastructure & Roads,Directorate of Infrastructure,Rajasthan,Ajmer,Smart Cities Mission,191721353.81,176860970.07,154771905.08,Q1,6,Ganesh Construction Pvt Ltd,92690883.98,241187053.79,80.73,inflated
2023-24,Power & Energy,Directorate of Power,Madhya Pradesh,Sagar,UDAY Scheme,326583850.39,291160481.77,208103831.55,Q2,7,Dilip Buildcon Ltd,281449857.51,283073952.14,63.72,normal
2023-24,Social Justice,Directorate of Social Justice,Rajasthan,Bharatpur,NSFDC Schemes,34839206.64,31405570.85,22264139.95,Q2,8,NCC Limited,32937540.13,33425518.08,63.91,normal
2021-22,Power & Energy,Directorate of Power,West Bengal,Durgapur,UDAY Scheme,54278944.99,49583018.1,41939008.05,Q2,7,Engineers India Ltd,49997470.78,49590206.54,77.27,normal
2021-22,Urban Development,Directorate of Urban Development,Bihar,Muzaffarpur,Smart Cities,390133298.63,365523185.35,292420127.14,Q1,6,Narayana Health,326461708.93,312789180.18,74.95,normal
2020-21,Women & Child Development,Directorate of Women,Rajasthan,Udaipur,Beti Bachao Beti Padhao,382504888.21,296655658.16,232036368.6,Q1,5,PNC Infratech,363974560.52,331187895.4,60.66,normal
2022-23,Women & Child Development,Directorate of Women,Odisha,Baripada,Mission Shakti,203028517.35,183922092.03,141936307.94,Q2,8,Apollo Hospitals,178427580.68,185720071.13,69.91,normal
2019-20,Urban Development,Directorate of Urban Development,Odisha,Bhubaneswar,HRIDAY,413678040.73,404922207.45,330410386.23,Q4,2,NIIT Technologies,412340259.2,373533986.89,79.87,normal
2021-22,Power & Energy,Directorate of Power,Karnataka,Bengaluru,SAUBHAGYA,442314390.44,303327875.33,14146561.85,Q4,2,MECON Limited,375967231.87,14046395.7,3.2,low_utilization
2022-23,Agriculture & Farmers Welfare,Directorate of Agriculture,Punjab,Jalandhar,Kisan Credit Card,250828237.34,216696875.69,202868357.17,Q1,6,Dilip Buildcon Ltd,220381036.12,209035630.82,80.88,normal
2020-21,Agriculture & Farmers Welfare,Directorate of Agriculture,Rajasthan,Sikar,RKVY,125791064.74,109708518.48,16175182.12,Q4,1,Kalpataru Power,106922405.03,15469675.46,12.86,low_utilization
2023-24,Women & Child Development,Directorate of Women,Telangana,Ramagundam,POSHAN 2.0,395742230.52,382259723.67,294789968.87,Q4,3,Educomp Solutions,320068882.7,296266239.18,74.49,normal
2020-21,Water Resources,Directorate of Water Resources,Odisha,Rourkela,Atal Bhujal Yojana,26603934.62,24061803.34,23039397.02,Q2,9,MECON Limited,24616369.83,22588795.68,86.6,normal
2021-22,Education,Directorate of Education,Bihar,Patna,NIPUN Bharat,249316176.09,230888538.84,194998037.12,Q1,5,Mahindra Agri,211314325.19,208848149.47,78.21,normal
2019-20,Women & Child Development,Directorate of Women,Gujarat,Jamnagar,PM Matru Vandana Yojana,441201764.61,386500651.76,352658208.37,Q1,4,GR Infraprojects,357278023.86,329495522.09,79.93,normal
2023-24,Water Resources,Directorate of Water Resources,Uttar Pradesh,Agra,Jal Jeevan Mission,460271964.44,375926178.19,265794651.56,Q3,11,MECON Limited,424471068.05,426053089.85,57.75,normal
2023-24,Urban Development,Directorate of Urban Development,Odisha,Rourkela,SBM Urban,47470017.62,38127891.53,29406540.21,Q3,10,Hindustan Construction Co,45176665.0,46373686.0,61.95,normal
2019-20,Health & Family Welfare,Directorate of Health,Madhya Pradesh,Satna,National Health Mission,263999313.97,236235102.56,199821162.01,Q3,11,KEC International,241367554.37,252688294.12,75.69,normal
2021-22,Social Justice,Directorate of Social Justice,Maharashtra,Kolhapur,Venture Capital Fund SCs,424051186.96,365125014.06,310151108.04,Q4,3,Dilip Buildcon Ltd,391339028.67,381344049.4,73.14,normal
2020-21,Women & Child Development,Directorate of Women,Gujarat,Vadodara,One Stop Centre,1788877.7,1565498.77,1076650.22,Q3,10,GR Infraprojects,1717166.73,1802764.14,60.19,normal
2023-24,Power & Energy,Directorate of Power,Uttar Pradesh,Meerut,National Solar Mission,320668537.13,216876230.68,6691449.37,Q2,7,BHEL,272568256.56,6594211.06,2.09,low_utilization
2021-22,Water Resources,Directorate of Water Resources,Uttar Pradesh,Kanpur,PMKSY,284891848.86,275321919.7,217174788.16,Q4,3,Larsen & Toubro Ltd,166506737.04,411396784.07,76.23,inflated
2020-21,Women & Child Development,Directorate of Women,Uttar Pradesh,Agra,PM Matru Vandana Yojana,448068372.12,415792508.29,393710929.3,Q4,3,NBCC India Ltd,433291591.23,409417901.35,87.87,normal
2023-24,Water Resources,Directorate of Water Resources,Karnataka,Bengaluru,Atal Bhujal Yojana,34040307.62,31841540.77,24152724.87,Q3,11,Educomp Solutions,31497570.49,32327873.73,70.95,normal
2023-24,Urban Development,Directorate of Urban Development,Odisha,Balasore,AMRUT 2.0,352927825.84,250174971.78,195746470.04,Q1,5,Mahindra Agri,344249241.14,329011921.68,55.46,normal
2019-20,Rural Development,Directorate of Rural Development,Bihar,Darbhanga,PMAY-G,389117405.34,345829969.0,261097115.22,Q3,10,Shapoorji Pallonji,226073772.75,455698913.09,67.1,inflated
2020-21,Water Resources,Directorate of Water Resources,Gujarat,Gandhinagar,PMKSY,338681927.08,305789062.81,243713238.27,Q1,6,Kalpataru Power,271223929.35,282032366.1,71.96,normal
2019-20,Urban Development,Directorate of Urban Development,Maharashtra,Solapur,SBM Urban,383323912.28,232579513.86,32877210.13,Q1,6,GR Infraprojects,325825325.44,31971825.22,8.58,low_utilization
2021-22,Infrastructure & Roads,Directorate of Infrastructure,Madhya Pradesh,Ujjain,AMRUT,59707768.53,46370147.37,30366981.79,Q4,3,KEC International,50233069.7,47849396.05,50.86,normal
2023-24,Water Resources,Directorate of Water Resources,Madhya Pradesh,Gwalior,PMKSY,36550192.74,32924809.6,43242324.38,Q2,7,Dilip Buildcon Ltd,34722683.1,43367695.49,118.31,overspent
2019-20,Agriculture & Farmers Welfare,Directorate of Agriculture,Maharashtra,Thane,PM-KISAN,90312513.63,78208084.82,71761846.72,Q4,2,Agri Gold Farms,83382208.37,78951786.25,79.46,normal
2023-24,Infrastructure & Roads,Directorate of Infrastructure,Punjab,Amritsar,Smart Cities Mission,406612657.85,363371508.38,305637892.75,Q2,7,Shapoorji Pallonji,200911044.9,628133831.56,75.17,inflated
2022-23,Education,Directorate of Education,Odisha,Sambalpur,Eklavya Model School,458714946.46,431660693.97,325439162.08,Q2,9,Mahindra Agri,369748479.13,359136754.83,70.95,normal
2021-22,Water Resources,Directorate of Water Resources,Gujarat,Anand,Atal Bhujal Yojana,287764450.77,234122876.62,205692724.08,Q3,12,KEC International,248966305.29,248323402.57,71.48,normal
2023-24,Rural Development,Directorate of Rural Development,Karnataka,Tumkur,Deen Dayal Upadhyaya Grameen Kaushalya Yojana,310816544.59,302328046.77,233645544.1,Q4,1,Fortis Healthcare,261598007.86,262672908.61,75.17,normal
2020-21,Power & Energy,Directorate of Power,West Bengal,Bardhaman,RDSS,335132992.86,272655035.92,41956078.13,Q2,9,Kalpataru Power,284863043.93,41597413.22,12.52,low_utilization
2020-21,Women & Child Development,Directorate of Women,Tamil Nadu,Coimbatore,PM Matru Vandana Yojana,35734209.78,33159155.51,29738121.5,Q3,11,Educomp Solutions,30927302.79,30826738.56,83.22,normal
2023-24,Agriculture & Farmers Welfare,Directorate of Agriculture,Maharashtra,Nashik,Pradhan Mantri Fasal Bima Yojana,330779815.49,258544420.72,218982753.19,Q1,4,Agri Gold Farms,277568366.1,278186654.69,66.2,normal
2021-22,Water Resources,Directorate of Water Resources,Madhya Pradesh,Ujjain,National River Conservation Plan,5051506.95,4449566.77,3450688.6,Q1,6,Laxmi Infra Works,2083656.25,6379126.06,68.31,inflated
2021-22,Agriculture & Farmers Welfare,Directorate of Agriculture,Uttar Pradesh,Meerut,PM-KISAN,216426035.06,189385767.31,166236684.49,Q1,4,NIIT Technologies,189656950.01,186199090.02,76.81,normal
2023-24,Education,Directorate of Education,Gujarat,Vadodara,PM POSHAN,420141380.68,411439283.02,355656816.63,Q4,2,Dilip Buildcon Ltd,337088063.83,336163898.61,84.65,normal
2020-21,Education,Directorate of Education,Punjab,Gurdaspur,National Scholarship Portal,321479206.89,266084489.26,240129835.43,Q1,4,Pearson India,297255651.02,287790779.58,74.7,normal
2021-22,Power & Energy,Directorate of Power,Karnataka,Tumkur,UDAY Scheme,212961156.79,178777473.06,158020028.57,Q2,7,Engineers India Ltd,187867424.64,184471709.49,74.2,normal
2022-23,Water Resources,Directorate of Water Resources,Uttar Pradesh,Lucknow,Dam Rehabilitation,290554121.97,237095830.65,212446659.07,Q3,10,NBCC India Ltd,173378241.04,550846204.18,73.12,inflated
2023-24,Rural Development,Directorate of Rural Development,Gujarat,Surat,Shyama Prasad Mukherji Rurban Mission,236753334.6,210266156.15,6832200.7,Q1,4,BHEL,201240334.41,6783779.1,2.89,low_utilization
2022-23,Water Resources,Directorate of Water Resources,Karnataka,Bengaluru,National River Conservation Plan,367173459.18,355777410.13,322132049.59,Q4,3,MECON Limited,306039677.66,307342694.97,87.73,normal
2021-22,Urban Development,Directorate of Urban Development,Punjab,Bathinda,HRIDAY,237107105.45,169402017.43,163797647.36,Q1,6,Tata Projects Ltd,203286890.28,185474186.54,69.08,normal
